"election_id","cand_id","n_posts","n_attacks_fb","gender","birthyear","incumbent","party.x","ltw_id","invited","participated","n_tweets","n_attacks_tw","prop_attacks_fb","prop_attacks_tw","invited_bin","participated_bin","any_posts_tweets","jahr","land","wahl","female","age","immigr","party.y","incumb","governing","lr_self","extr_self","lr_party","extr_party","lr_voters","extr_voters","dist_party","dist_voters","big5_extra","big5_agrea","big5_consc","big5_emot","big5_open","race_chance","race_close","media_diffic","media_impact","camp_personal","camp_time","camp_budget","camp_staff","camp_manager"
"ltw_mv_2021",3776,11,0,"female",1967,0,"DIE LINKE","FC837448",2,0,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltw_mv_2021",3791,36,0,"male",1969,0,"AfD","AS548281",1,0,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltw_mv_2021",3879,37,0,"female",1969,0,"CDU","CX721518",1,0,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltw_mv_2021",3926,129,3,"male",1975,1,"DIE LINKE","FD222337",1,0,1,0,0.0232558139534884,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltw_mv_2021",3997,165,12,"male",1978,0,"NPD","UH885771",1,0,17240,522,0.0727272727272727,0.0302784222737819,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltw_mv_2021",4174,126,3,"male",1985,0,NA,"KW493213",1,0,1,0,0.0238095238095238,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltw_mv_2021",4519,15,0,"male",1964,0,"DIE LINKE","FE545827",1,0,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltw_mv_2021",4539,3,0,"male",1964,0,"Bündnis C","CK387115",2,6,306,8,0,0.0261437908496732,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltw_mv_2021",4915,26,0,"male",1957,1,"AfD","AU873174",1,0,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltw_mv_2021",4966,71,0,"male",1969,0,"CDU","DD372971",1,0,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltw_mv_2021",5125,34,0,"male",1968,1,"SPD","VX628882",1,0,4906,14,0,0.00285364859355891,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltw_mv_2021",5289,5,0,"female",1978,0,"CDU","DD459771",1,0,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltw_mv_2021",5757,22,0,"male",1965,0,"CDU","DH279388",2,2,8,0,0,0,1,1,1,2021,12,121,0,56,0,1,0,1,0.7,0.4,0.7,0.4,0.7,0.4,0.625,0.571428571428571,0.916666666666667,0.875,0.666666666666667,0.375,0.8125,0.75,0.5,0.75,1,NA,40,"10.000 bis unter 30.000 Euro",4,0
"ltw_mv_2021",5791,168,2,"female",1975,0,"SPD","VX774167",1,0,1240,60,0.0119047619047619,0.0483870967741935,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltw_mv_2021",6201,43,0,"female",1975,1,"SPD","VY992837",1,0,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltw_mv_2021",6799,23,0,"male",1982,0,"FDP","LQ871295",2,0,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltw_mv_2021",6995,24,1,"male",1997,0,"AfD","AV497152",1,0,1,0,0.0416666666666667,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltw_mv_2021",7069,28,0,"male",1982,0,"DIE LINKE","FM359775",1,0,8,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltw_mv_2021",7183,14,0,"female",1990,1,"SPD","WA236429",1,0,509,29,0,0.0569744597249509,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltw_mv_2021",7426,15,0,"male",1994,0,"FREIE WÄHLER","PN666849",1,1,1,0,0,0,1,1,1,2021,12,121,0,27,0,7,0,0,0.5,0,0.5,0,0.6,0.2,0.625,0.5,0.833333333333333,0.625,0.6,0.25,0.6875,0,0,0.75,1,0,20,"5.000 Euro bis unter 10.000 Euro",1,0
"ltw_mv_2021",7801,42,0,"female",1967,0,"SPD","WB317933",2,3,1,0,0,0,1,1,1,2021,12,121,1,54,1,2,0,1,0,1,0,1,0,1,0.625,0.571428571428571,1,0.875,1,0.3125,0.5,1,0,0.75,1,1,22,"Unter 1.000 Euro",5,0
"ltw_mv_2021",8006,62,0,"female",1967,0,"SPD","WF475771",1,2,1,0,0,0,1,1,1,2021,12,121,1,54,0,2,0,1,0.2,0.6,0.2,0.6,0.5,0,0.625,0.357142857142857,1,0.875,0.6,0.25,0.75,0.5,0.5,0.5,0.75,0.5,40,"10.000 bis unter 30.000 Euro",4,0
"ltw_mv_2021",8244,1,0,"male",1976,0,NA,"KX987827",2,1,1,0,0,0,1,1,1,2021,12,121,0,45,0,98,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.75,0.5,0.733333333333333,0.25,0.625,0.25,0.5,1,0.5,0.9,75,NA,2,0
"ltw_mv_2021",8445,95,16,"male",1976,1,"AfD","BB831253",1,0,1,0,0.168421052631579,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltw_mv_2021",8682,18,0,"female",1982,1,"DIE LINKE","FQ692478",1,2,944,87,0,0.0921610169491525,1,1,1,2021,12,121,1,39,0,5,1,0,0.1,0.8,0.1,0.8,0.4,0.2,0.625,0.357142857142857,1,0.5625,0.6,0.0625,0.8125,0.75,0.5,0.5,0.75,0.8,30,"10.000 bis unter 30.000 Euro",8,1
